trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",35,0,-158.4871134737478,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",30,8,-102.88816600947052,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",30,0,-163.15250327711817,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,2,-48.710306142786095,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,8,-108.01012002265233,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-225.4289802064531,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-156.1616217029213,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-211.0884968588647,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-157.9988405166992,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-130.7128826502683,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-167.2692534149433,"{0: 11, 1: 2, 2: 1, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",25,0,-69.30222303825899,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,14,-53.39063330331389,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-244.77702830727947,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-123.69049997220628,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,10,-3.841091502407164,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
