trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-121.45441674087951,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-89.65730692112139,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",35,0,-151.35194023509095,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-67.43803385666992,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-142.08411755803218,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-68.48626854381202,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-136.84783036472234,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,0,-141.6616140396933,"{0: 17, 1: 8, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,2,-94.75471574172582,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",35,0,-72.32092274926006,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-42.1625524777227,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",35,0,-170.4115885338459,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-29.024809353625212,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-107.51298945740308,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",30,0,-138.66115091930084,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-75.67271029501663,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-150.278732524069,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-110.28850236602537,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-132.2829847518573,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,8,-100.40955063101671,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,0,-53.41290354587473,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-82.84963310644768,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-69.47928588022832,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-92.39454579262778,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-161.70428652469184,"{0: 14, 1: 3, 2: 2, 3: 5, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-130.4662446345895,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-85.8156763641547,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,6,-48.19264927830413,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,-88.07618649950992,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-123.21021826253423,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
