trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,12,-13.317623223011266,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,6,-100.70917169670001,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-69.2103558999039,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-183.02209225593614,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-226.5312769215371,"{0: 15, 1: 3, 2: 5, 3: 5, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-58.966325028858236,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-75.1973269690509,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,6.165173118957525,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,14,-21.95771244042236,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-183.50761794254117,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-55.93580540784734,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-189.57221567639309,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,13,-108.88222701987696,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-140.89627918404256,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-45.72353414043067,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-83.90260687711849,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-13.039398074394008,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-57.36814133558882,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-23.612587574431224,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,-72.71353346791469,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,8,-155.57147269349116,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 4}",1
2,True,"{'a': 0, 'e': 0}",35,0,-33.539716979154804,"{0: 30, 1: 0, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-18.47134146830688,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-58.418468637694,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,5,-60.5371908256245,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-28.47281135125146,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,13,-47.67873580815763,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,8,-18.40593582235669,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,4,-90.25336655441231,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,6,-104.05801527435926,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 2}",1
