trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999988750002109}",25,0,-166.42491536509408,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-156.03621724573236,"{0: 10, 1: 7, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999898750170859}",20,0,-46.53672566171265,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-85.2825525311737,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999718751318357}",30,0,-152.64287748321112,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-200.85639519712205,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.999944875506459}",25,5,-50.629487504621814,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,0,-107.1847831760987,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999088763839525}",25,0,-160.90267497683726,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-140.43731714149556,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9998638780883079}",20,10,-69.57417511657489,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9998380043739528}",25,0,-305.62238931151074,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.9998098810245096}",20,12,-0.8269611190658264,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9997795081032559}",25,0,-123.25457942412511,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9997468856785308}",20,0,-125.88713713217054,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,1,-88.80696151975603,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 0}",1
